"Environment and Climate Change Canada"
"Monthly Values for October - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","12.8","0",NA,"20.0","0","6.0","0","0.0","0",NA,"129.9","0",NA,"0.0","13","","",NA,"162.2","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","11.9","15","2.1","25.5","10","1.0","9","0.0","10",NA,"128.6","10",NA,"","12","","",NA,"97.7","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"17.4","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","12.0","3","1.9","21.0","3","3.0","3","0.0","3",NA,"118.4","3",NA,"0.0","13","","",NA,"167.3","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","12.5","1",NA,"20.1","1","7.1","0","",,NA,"118.2","1",NA,"","10","",,NA,"164.6","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","11.5","22",NA,"18.0","22","7.0","22","0.0","22",NA,"52.4","22",NA,"0.0","5","","",NA,"58.9","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","11.9","0",NA,"19.5","0","5.9","0","",,NA,"126.6","0",NA,"","10","",,NA,"190.4","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","168.8","0","150.0","0.0","10","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","109.7","0","101.0","0.0","14","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","12.3","0",NA,"23.7","0","1.4","0","",,NA,"100.5","0",NA,"","10","",,NA,"176.4","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","12.9","4",NA,"22.0","4","7.5","4","0.0","4",NA,"103.8","4",NA,"0.0","13","","",NA,"138.4","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","12.9","0",NA,"18.8","0","9.1","0","",,NA,"",,NA,"","","",,NA,"157.3","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","12.3","0","2.0","20.0","0","5.5","0","0.0","0","0.0","113.2","0","122.0","0.0","14","","",NA,"177.3","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","12.7","6","1.9","19.5","6","7.0","6","0.0","6",NA,"89.4","6",NA,"0.0","9","","",NA,"131.8","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","28",NA,"26.0","28",NA,"0.0","3","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","12.3","3",NA,"19.8","3","6.9","0","",,NA,"77.6","3",NA,"","8","",,NA,"160.3","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","12.7","0",NA,"17.4","0","8.6","0","",,NA,"76.4","0",NA,"","9","",,NA,"163.2","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","12.0","0","2.0","22.5","0","4.0","0","0.0","0","0.0","113.6","0","99.0","0.0","15","","",NA,"186.0","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","12.4","0",NA,"18.9","0","8.0","0","",,NA,"127.2","0",NA,"","9","",,NA,"174.3","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","12.2","0",NA,"19.9","0","5.2","0","",,NA,"115.0","0",NA,"","9","",,NA,"181.2","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","24",NA,"101.2","24",NA,"0.0","7","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","12.8","1",NA,"20.1","1","7.6","0","",,NA,"107.0","3",NA,"","10","",,NA,"156.7","0.0","1018611"
"VICTORIA HIGHLANDS NORTH","48.538","-123.501","BC","12.0","7",NA,"20.5","4","3.8","4","0.0","3",NA,"161.4","3",NA,"0.0","13","","",NA,"145.2","0.0","1018618"
"VICTORIA INTL A","48.647","-123.426","BC","11.9","0",NA,"20.5","0","3.9","0","0.0","0",NA,"85.6","1",NA,"","9","",,NA,"189.3","0.0","1018621"
"WILLIAM HEAD","48.340","-123.539","BC","11.9","1","1.5","19.5","1","6.0","1","0.0","1",NA,"120.0","1",NA,"0.0","14","","",NA,"182.5","0.0","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","12.4","0",NA,"17.4","0","8.6","0","",,NA,"62.2","0",NA,"","9","",,NA,"175.0","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","10.1","2","1.6","21.4","2","-1.4","2","0.0","2",NA,"74.4","2",NA,"0.0","16","","",NA,"227.9","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","11.8","0","2.1","20.5","0","5.5","0","0.0","0","0.0","125.8","0","74.0","0.0","18","","",NA,"192.9","0.0","1021330"
"CHATHAM POINT","50.333","-125.446","BC","11.4","0","2.1","16.0","0","6.5","0","0.0","0","0.0","239.4","0","85.0","0.0","20","","",NA,"204.5","0.0","1021480"
"CHROME ISLAND","49.472","-124.683","BC","11.6","0",NA,"19.5","0","4.5","0","0.0","0",NA,"86.7","0",NA,"0.0","17","","",NA,"198.4","0.0","1021500"
"COMOX A","49.717","-124.900","BC","11.4","0","1.9","19.6","0","3.3","0","0.0","0","0.0","78.1","0","64.0","","11","",,NA,"204.4","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","11.5","1",NA,"21.5","1","1.0","1","0.0","1",NA,"111.5","1",NA,"0.0","15","","",NA,"195.8","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","11.7","13",NA,"19.5","13","4.0","13","0.0","13",NA,"90.7","13",NA,"0.0","10","","",NA,"113.0","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","10.9","12",NA,"22.0","6","1.0","6","0.0","6",NA,"93.5","6",NA,"0.0","14","","",NA,"134.0","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","12.5","0",NA,"17.7","0","8.6","0","",,NA,"52.8","0",NA,"","9","",,NA,"170.5","0.0","1022689"
"FANNY ISLAND","50.454","-125.993","BC","11.7","0",NA,"17.1","0","6.7","0","",,NA,"207.2","0",NA,"","16","",,NA,"196.6","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","11.5","1",NA,"20.0","1","4.5","1","0.0","1",NA,"151.4","1",NA,"0.0","17","","",NA,"196.2","0.0","1023462"
"NANAIMO A","49.054","-123.870","BC","12.0","5","2.1","21.2","5","2.4","5","0.0","5",NA,"75.2","5",NA,"0.0","10","","",NA,"155.4","0.0","1025370"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0","0.0","93.7","0","94.0","0.0","12","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","10.3","0",NA,"20.6","0","1.4","0","0.0","0",NA,"288.8","0",NA,"","18","",,NA,"239.9","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","11.3","0",NA,"20.6","0","2.9","0","",,NA,"52.4","0",NA,"","9","",,NA,"208.4","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","11.4","2","2.2","20.0","2","-2.0","2","0.0","2",NA,"93.0","2",NA,"0.0","13","","",NA,"191.6","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","11.0","6","1.8","21.0","5","1.0","6","0.0","5",NA,"114.8","5",NA,"0.0","16","","",NA,"175.9","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","12.9","0",NA,"18.0","0","9.4","0","",,NA,"",,NA,"","","",,NA,"158.3","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","12.1","0",NA,"18.0","0","7.5","0","0.0","0",NA,"82.2","0",NA,"0.0","13","","",NA,"183.7","0.0","102BFHH"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","12.7","4","2.9","27.0","4","3.0","4","0.0","4",NA,"164.0","4",NA,"0.0","14","","",NA,"143.3","0.0","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","13.3","1","2.8","20.0","1","7.5","1","0.0","1",NA,"222.4","1",NA,"0.0","16","","",NA,"141.5","0.0","1031316"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.0","1",NA,"167.5","1",NA,"0.0","13","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.418","BC","",,NA,"",,"",,"0.0","5",NA,"337.4","5",NA,"0.0","16","","",NA,"","","1031844"
