"Environment and Climate Change Canada"
"Monthly Values for May - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","15.7","0",NA,"25.5","0","5.0","0","0.0","0",NA,"12.8","0",NA,"0.0","3","","",NA,"76.1","6.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","14.9","16","2.8","29.0","11","1.0","11","0.0","11",NA,"18.6","11",NA,"","5","","",NA,"50.0","3.4","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"21.6","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","14.6","1","2.2","26.0","1","2.0","1","0.0","1",NA,"8.6","1",NA,"0.0","2","","",NA,"103.6","1.3","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","13.3","0",NA,"23.5","0","5.6","0","",,NA,"0.6","0",NA,"","0","",,NA,"145.3","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","15.2","7",NA,"23.0","7","5.5","7","0.0","7",NA,"8.0","7",NA,"0.0","3","","",NA,"70.8","4.1","10130MN"
"MALAHAT","48.575","-123.530","BC","14.4","0",NA,"25.8","0","4.4","0","",,NA,"8.2","1",NA,"","3","",,NA,"115.2","3.6","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"4.8","0","12.0","0.0","1","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0",NA,"9.3","0","18.0","0.0","2","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","15.0","0",NA,"26.7","0","1.0","0","",,NA,"7.8","0",NA,"","2","",,NA,"96.7","2.3","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","15.5","14",NA,"25.0","14","9.0","14","0.0","14",NA,"2.4","14",NA,"0.0","1","","",NA,"42.7","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","11.4","0",NA,"21.9","0","7.2","0","",,NA,"",,NA,"","","",,NA,"205.3","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","14.2","3","1.9","25.0","1","3.5","2","0.0","0",NA,"5.6","0","14.0","0.0","3","","",NA,"107.0","0.3","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","15.9","4","3.0","25.0","4","6.0","4","0.0","4",NA,"5.7","4",NA,"","1","","",NA,"61.3","5.6","1016995"
"SATURNA CAPMON","48.775","-123.128","BC","14.1","0","2.1","23.7","0","4.0","0","0.0","0",NA,"4.5","0","10.0","0.0","2","","",NA,"121.5","1.3","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","13.8","0",NA,"23.5","0","5.3","0","",,NA,"2.6","0",NA,"","1","",,NA,"131.3","1.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","14.2","0",NA,"22.1","0","7.6","0","",,NA,"1.6","0",NA,"","0","",,NA,"118.9","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","14.9","0","2.8","26.5","0","3.0","0","0.0","0",NA,"6.6","0","13.0","0.0","2","","",NA,"98.3","2.1","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","10.7","0",NA,"22.6","0","6.7","0","",,NA,"9.2","0",NA,"","3","",,NA,"225.6","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","13.8","0",NA,"26.3","0","2.7","0","",,NA,"1.8","2",NA,"","1","",,NA,"130.2","0.1","1018598"
"VICTORIA GONZALES CS","48.413","-123.325","BC","13.2","1",NA,"20.9","1","5.4","0","",,NA,"0.8","3",NA,"","0","",,NA,"145.4","0.0","1018611"
"VICTORIA HIGHLANDS NORTH","48.538","-123.501","BC","10.6","29",NA,"17.1","29","2.5","28","0.0","29",NA,"0.0","29",NA,"","0","","",NA,"14.9","0.0","1018618"
