"Environment and Climate Change Canada"
"Monthly Values for June - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","17.2","0",NA,"31.5","0","6.0","0","0.0","0",NA,"33.0","0",NA,"0.0","8","","",NA,"53.7","28.2","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","15.5","14","0.5","35.0","10","3.0","9","",,NA,"46.2","19",NA,"","7","","",NA,"49.6","9.1","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"25.4","1","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","15.1","0",NA,"26.4","0","7.8","0","",,NA,"19.2","0",NA,"","3","",,NA,"88.6","2.8","1012710"
"GALIANO NORTH","48.985","-123.573","BC","16.5","1",NA,"30.5","1","8.0","1","0.0","1",NA,"39.4","1",NA,"0.0","7","","",NA,"60.3","17.4","10130MN"
"MALAHAT","48.575","-123.530","BC","15.8","0",NA,"30.5","0","5.9","0","",,NA,"27.6","0",NA,"","8","",,NA,"91.5","24.1","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","6",NA,"17.4","6",NA,"0.0","3","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0",NA,"25.6","0","68.0","0.0","7","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","16.4","0",NA,"32.9","0","3.7","0","",,NA,"23.6","0",NA,"","8","",,NA,"65.4","17.8","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","17.4","16",NA,"32.0","16","8.5","16","0.0","16",NA,"13.6","16",NA,"","2","","",NA,"26.5","18.3","1015638"
"RACE ROCKS","48.298","-123.531","BC","13.7","0",NA,"27.4","0","8.8","0","",,NA,"",,NA,"","","",,NA,"131.5","3.2","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","16.0","0","1.1","29.0","0","8.5","0","0.0","0",NA,"20.8","0","60.0","0.0","6","","",NA,"69.6","10.6","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","17.4","0","1.6","29.5","0","8.0","0","0.0","0",NA,"32.8","0","88.0","0.0","7","","",NA,"43.8","25.5","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","29",NA,"5.0","29",NA,"","1","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","15.2","0",NA,"29.7","0","6.7","0","",,NA,"40.9","0",NA,"","8","",,NA,"99.7","15.2","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","15.7","0",NA,"25.7","0","9.3","0","",,NA,"28.0","0",NA,"","6","",,NA,"76.8","7.6","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","16.4","0","1.3","31.5","0","5.5","0","0.0","0",NA,"25.8","0","64.0","0.0","5","","",NA,"64.4","16.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","12.7","0",NA,"24.5","0","8.1","0","",,NA,"31.6","0",NA,"","9","",,NA,"160.6","0.9","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","15.9","0",NA,"30.1","0","5.3","0","",,NA,"41.0","0",NA,"","5","",,NA,"74.1","9.6","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","29",NA,"1.4","29",NA,"","1","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","15.5","0",NA,"30.2","0","7.8","0","",,NA,"26.0","4",NA,"","5","",,NA,"86.7","10.8","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","16.1","0",NA,"30.4","0","7.7","0","0.0","2",NA,"21.1","2",NA,"","5","",,NA,"69.2","11.0","1018621"
"BALLENAS ISLAND","49.350","-124.160","BC","16.5","0",NA,"23.4","0","9.6","0","",,NA,"53.4","0",NA,"","9","",,NA,"57.9","11.4","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","15.4","0","0.7","31.5","0","1.0","0","0.0","0",NA,"86.6","0","138.0","0.0","14","","",NA,"95.2","15.7","1021261"
"CAPE MUDGE","49.998","-125.195","BC","16.1","0","1.2","30.0","0","7.5","0","0.0","0",NA,"66.6","0","109.0","0.0","11","","",NA,"71.6","14.6","1021330"
"CHROME ISLAND","49.472","-124.683","BC","16.5","0",NA,"28.0","0","8.0","0","0.0","0",NA,"71.4","0",NA,"0.0","10","","",NA,"57.7","13.0","1021500"
"COMOX A","49.717","-124.900","BC","16.3","0","0.8","29.4","0","7.2","0","0.0","0",NA,"59.4","0","139.0","","8","",,NA,"65.6","15.7","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","16.1","2",NA,"30.0","2","5.0","2","0.0","2",NA,"169.6","2",NA,"0.0","14","","",NA,"65.4","11.4","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","15.9","9",NA,"31.0","9","6.5","9","0.0","9",NA,"60.2","9",NA,"","11","","",NA,"54.6","11.5","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","15.9","0",NA,"30.0","0","4.5","0","0.0","0",NA,"102.2","0",NA,"0.0","16","","",NA,"68.5","6.7","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","16.4","0",NA,"24.1","0","9.6","0","",,NA,"33.6","0",NA,"","5","",,NA,"61.7","12.7","1022689"
