"Environment and Climate Change Canada"
"Monthly Values for February - 2013"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","5.8","0",NA,"11.5","0","0.5","0","0.0","0",NA,"103.7","0",NA,"0.0","11","","",NA,"341.9","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","4.1","15","0.1","11.0","10","-1.5","11","0.0","10",NA,"220.0","10",NA,"0.0","14","","",NA,"180.7","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","",,NA,"",,"3.5","1","",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","4.6","0","0.3","11.5","0","-1.5","0","0.0","0","0.0","122.2","0","88.0","0.0","12","","",NA,"374.1","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","5.6","0",NA,"9.0","0","-0.2","0","",,NA,"60.2","0",NA,"","9","",,NA,"346.8","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","4.9","0",NA,"11.5","0","-2.5","0","0.0","0",NA,"80.7","0",NA,"0.0","17","","",NA,"366.1","0.0","1013051"
"GALIANO NORTH","48.985","-123.573","BC","6.2","5",NA,"11.5","5","1.5","5","0.0","5",NA,"62.0","5",NA,"0.0","13","","",NA,"271.6","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","3.7","0",NA,"7.3","0","0.2","0","",,NA,"",,NA,"","","",,NA,"400.7","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","82.5","0","77.0","0.0","14","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","15",NA,"64.4","15",NA,"0.0","9","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","5.2","0",NA,"11.2","0","-2.4","0","",,NA,"60.9","0",NA,"","10","",,NA,"358.6","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","6.2","14",NA,"10.5","14","1.5","14","0.0","14",NA,"35.7","14",NA,"0.0","7","","",NA,"165.5","0.0","1015638"
"PORT RENFREW","48.591","-124.326","BC","5.0","0","0.5","9.5","0","-1.5","0","0.0","0","0.0","516.0","0","137.0","0.0","22","","",NA,"362.8","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","5.3","0","0.0","10.5","0","-1.0","0","0.0","0","0.0","75.2","0","84.0","0.0","14","","",NA,"355.6","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","5.9","0","0.9","11.0","0","0.5","0","0.0","0","0.0","68.3","0","69.0","0.0","15","","",NA,"337.5","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","23",NA,"37.0","23",NA,"0.0","5","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","5.0","0","0.0","9.9","0","1.0","0","0.0","0","0.0","64.6","0","100.0","0.0","16","","",NA,"364.6","0.0","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","4.8","1",NA,"9.8","1","1.0","0","",,NA,"49.1","1",NA,"","10","",,NA,"357.5","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","6.1","1",NA,"11.2","1","2.2","0","",,NA,"33.2","3",NA,"","6","",,NA,"322.0","0.0","1017101"
