"Environment and Climate Change Canada"
"Monthly Values for May - 2011"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","11.5","0",NA,"20.5","0","4.0","0","0.0","0",NA,"74.7","0",NA,"0.0","12","","",NA,"200.2","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","9.7","18","-2.2","20.5","18","-0.5","18","0.0","0","0.0","120.8","0","140.0","0.0","17","","",NA,"107.3","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","9.5","17","-2.6","23.0","12","1.0","12","0.0","11",NA,"60.0","11",NA,"0.0","13","","",NA,"119.6","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","10.2","0",NA,"16.3","0","5.3","0","",,NA,"",,NA,"","","",,NA,"241.5","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","10.4","0","-1.9","20.5","0","1.0","0","0.0","0","0.0","84.6","0","172.0","0.0","13","","",NA,"234.8","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","9.5","0",NA,"17.9","0","2.9","0","",,NA,"50.4","0",NA,"","9","",,NA,"262.3","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","10.6","0",NA,"20.0","0","1.5","0","0.0","0",NA,"74.8","0",NA,"0.0","11","","",NA,"229.2","0.0","1013051"
"GALIANO NORTH","48.985","-123.573","BC","11.0","6",NA,"18.5","6","4.0","6","0.0","6",NA,"57.0","6",NA,"0.0","10","","",NA,"174.2","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","9.7","0",NA,"19.2","0","2.9","0","",,NA,"",,NA,"","","",,NA,"258.3","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"70.8","0","178.0","0.0","8","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","14",NA,"43.0","14",NA,"0.0","7","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","10.7","0",NA,"21.6","0","0.2","0","",,NA,"83.6","0",NA,"","11","",,NA,"226.5","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","10.7","0",NA,"20.0","0","2.5","0","0.0","0",NA,"73.9","0",NA,"0.0","12","","",NA,"225.1","0.0","1015638"
"PORT RENFREW","48.591","-124.326","BC","9.7","0","-1.4","19.0","0","-0.5","0","0.0","0","0.0","178.2","0","115.0","0.0","18","","",NA,"258.1","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","10.3","0","-1.9","18.0","0","2.0","0","0.0","0",NA,"77.1","0","186.0","0.0","14","","",NA,"238.3","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","11.6","0","-1.4","20.5","0","4.0","0","0.0","0",NA,"76.6","0","178.0","0.0","13","","",NA,"199.1","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","28",NA,"37.8","28",NA,"","3","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","10.0","0","-2.1","18.9","0","2.7","0","0.0","0",NA,"117.0","0","270.0","0.0","12","","",NA,"249.1","0.0","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","9.7","2",NA,"18.6","2","3.1","1","",,NA,"35.4","11",NA,"","6","",,NA,"239.9","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","9.9","1",NA,"17.2","1","4.3","0","",,NA,"72.8","2",NA,"","10","",,NA,"244.4","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","10.4","0","-1.7","20.0","0","1.5","0","0.0","0",NA,"75.2","0","149.0","0.0","16","","",NA,"235.8","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","8.9","0",NA,"15.8","0","4.4","0","",,NA,"85.8","0",NA,"","15","",,NA,"281.4","0.0","1017254"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","38.0","0","69.0","0.0","11","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","10.5","0",NA,"20.6","0","1.8","0","",,NA,"62.0","0",NA,"","9","",,NA,"234.0","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","27",NA,"31.6","27",NA,"","4","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","10.4","0",NA,"18.4","0","4.1","0","",,NA,"60.4","0",NA,"","10","",,NA,"234.6","0.0","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","9.4","0","-2.4","21.0","0","0.5","0","0.0","0",NA,"58.8","0","127.0","0.0","13","","",NA,"266.4","0.0","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","10.8","0","-1.3","19.1","0","1.4","0","0.0","0",NA,"68.3","0","182.0","0.0","10","210.2","0","87.0","223.6","0.0","1018620"
"WILLIAM HEAD","48.340","-123.539","BC","10.8","3","-1.3","17.0","3","4.5","3","0.0","3",NA,"53.4","3",NA,"0.0","7","","",NA,"202.7","0.0","1018935"
"VICTORIA HARTLAND CS","48.534","-123.459","BC","10.2","0",NA,"21.9","0","2.5","0","",,NA,"64.2","0",NA,"","10","",,NA,"240.6","0.0","1018FJ5"
"BALLENAS ISLAND","49.350","-124.160","BC","11.1","0",NA,"16.6","0","6.1","0","",,NA,"63.2","0",NA,"","11","",,NA,"213.9","0.0","1020590"
"BLACK CREEK SE","49.803","-125.095","BC","10.8","0",NA,"22.0","0","0.0","0","0.0","0",NA,"88.5","0",NA,"0.0","12","","",NA,"224.7","0.0","1020881"
"CAMPBELL RIVER A","49.952","-125.273","BC","10.5","0","-1.1","23.0","0","0.2","0","0.0","0",NA,"97.4","0","142.0","0.0","20","","",NA,"232.0","0.0","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,"","",,"",,"0.0","0",NA,"98.6","0","169.0","0.0","16","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","10.9","0","-1.2","20.0","0","3.0","0","0.0","0",NA,"126.8","0","181.0","0.0","21","","",NA,"220.1","0.0","1021330"
"CHATHAM POINT","50.333","-125.433","BC","10.5","2","-1.2","22.0","2","4.0","2","0.0","2",NA,"148.8","2",NA,"0.0","14","","",NA,"216.2","0.0","1021480"
"COMOX A","49.717","-124.900","BC","11.1","0","-1.3","19.0","0","2.4","0","0.0","0",NA,"67.2","0","147.0","0.0","12","199.4","0","86.0","214.8","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","11.4","0",NA,"22.5","0","1.5","0","0.0","0",NA,"105.2","0",NA,"0.0","17","","",NA,"205.2","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","11.0","7",NA,"21.0","7","3.0","7","0.0","7",NA,"62.0","7",NA,"0.0","9","","",NA,"167.4","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","11.0","7",NA,"21.5","4","1.0","4","0.0","4",NA,"53.4","4",NA,"0.0","11","","",NA,"167.8","0.0","1021989"
"ENTRANCE ISLAND CS","49.217","-123.800","BC","11.1","0",NA,"17.8","0","6.2","0","",,NA,"29.4","0",NA,"","8","",,NA,"213.8","0.0","1022689"
"FANNY ISLAND","50.453","-125.992","BC","9.7","0",NA,"16.5","0","4.1","0","",,NA,"100.0","0",NA,"","14","",,NA,"258.3","0.0","1022795"
"GABRIOLA ISLAND","49.154","-123.734","BC","10.4","0","-1.2","20.5","0","0.5","0","0.0","0",NA,"79.0","0","165.0","0.0","15","","",NA,"234.3","0.0","1023042"
"HERIOT BAY SE","50.099","-125.203","BC","11.4","3",NA,"21.5","3","2.5","3","0.0","3",NA,"99.8","3",NA,"0.0","17","","",NA,"184.1","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","10.8","0","-0.7","21.0","0","1.0","0","0.0","0",NA,"65.5","0","133.0","0.0","11","","",NA,"223.9","0.0","1024638"
"MUD BAY","49.471","-124.794","BC","10.9","3","-1.1","21.0","1","3.0","2","0.0","1",NA,"53.2","1",NA,"0.0","11","","",NA,"197.5","0.0","1025240"
"MYRA CREEK","49.576","-125.606","BC","8.5","2",NA,"21.0","1","0.0","1","0.0","1",NA,"80.1","1",NA,"","16","","",NA,"274.6","0.0","1025254"
